,0
1386,16
1387,49
1388,3
1389,7
1390,2
1391,26
1392,2
1393,7
1394,53
1395,16
1396,3
1397,29
1398,12
1399,1
1400,3
1401,40
1402,3
1403,29
1404,1
1405,6
1406,2
1407,32
1408,29
1409,31
1410,38
1411,1
1412,14
1413,12
1414,13
1415,9
1416,4
1417,2
1418,1
1419,2
1420,49
1421,11
1422,6
1423,58
1424,59
1425,58
1426,8
1427,1
1428,5
1429,1
1430,1
1431,4
1432,11
1433,8
1434,4
1435,11
1436,34
1437,7
1438,12
1439,8
1440,3
1441,7
1442,23
1443,3
1444,6
1445,19
1446,43
1447,4
1448,4
1449,3
1450,2
1451,1
1452,4
1453,53
1454,3
1455,30
1456,1
1457,1
1458,9
1459,10
1460,3
1461,6
1462,13
1463,51
1464,4
1465,27
1466,11
1467,21
1468,14
1469,14
1470,7
1471,9
1472,5
1473,2
1474,13
1475,1
1476,2
1477,8
1478,4
1479,58
1480,2
1481,2
1482,61
1483,3
1484,18
1485,8
1486,7
1487,2
1488,3
1489,1
1490,32
1491,3
1492,24
1493,3
1494,32
1495,2
1496,14
1497,1
1498,5
1499,1
1500,34
1501,28
1502,17
1503,1
1504,3
1505,14
1506,13
1507,2
1508,43
1509,5
1510,26
1511,58
1512,16
1513,45
1514,8
1515,7
1516,34
1517,20
1518,9
1519,13
1520,13
1521,2
1522,2
1523,15
1524,2
1525,26
1526,1
1527,7
1528,14
1529,47
1530,2
1531,43
1532,15
1533,3
1534,31
1535,3
1536,4
1537,6
1538,9
1539,33
1540,1
1541,20
1542,4
1543,6
1544,31
1545,6
1546,55
1547,3
1548,2
1549,1
1550,13
1551,51
1552,10
1553,15
1554,22
1555,39
1556,34
1557,27
1558,13
1559,20
1560,2
1561,12
1562,1
1563,5
1564,3
1565,19
1566,2
1567,7
1568,14
1569,1
1570,5
1571,4
1572,1
1573,43
1574,23
1575,18
1576,5
1577,5
1578,2
1579,19
1580,3
1581,23
1582,13
1583,6
1584,18
1585,27
1586,27
1587,39
1588,18
1589,9
1590,1
1591,7
1592,21
1593,2
1594,55
1595,8
1596,16
1597,17
1598,2
1599,18
1600,4
1601,28
1602,2
1603,2
1604,6
1605,6
1606,2
1607,22
1608,6
1609,2
1610,28
1611,3
1612,10
1613,5
1614,22
1615,20
1616,2
1617,14
1618,5
1619,20
1620,15
1621,10
1622,4
1623,3
1624,2
1625,5
1626,2
